Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
BTC-27SEP24-62000-C,93.2,1340.1,,27.32337,-56.95008,77.3705,0.00004,,0.50801,0.063,54.3,53.58,0.0625,0.0627,0.0635,54.37,25.6
BTC-27SEP24-62000-P,26.2,888.6,,-34.72264,-56.95008,77.3705,0.00004,,-0.49199,0.0875,8.8,53.49,0.0735,0.0739,0.0745,54.28,10.7
BTC-27SEP24-63000-C,71.6,1211.5,,25.44952,-56.96486,77.17846,0.00004,,0.47078,0.0575,48.9,53.88,0.056,0.0561,0.057,54.67,45.8
BTC-27SEP24-63000-P,13,98.5,,-37.59725,-56.96409,77.17844,0.00004,,-0.52922,0.1,9,53.15,0.0825,0.0835,0.085,55.13,11.4
BTC-27SEP24-64000-C,147.2,381.3,,23.59915,-56.44104,76.33906,0.00004,,0.43445,0.05,53.7,53.71,0.0495,0.0498,0.0505,54.52,27.1
BTC-27SEP24-64000-P,15.3,130.1,,-40.44834,-56.44104,76.33906,0.00004,,-0.56555,0.1045,13,52.32,0.0915,0.0937,0.0955,55.54,31.5
BTC-27SEP24-65000-C,155,2524.9,,21.80102,-55.59874,74.92505,0.00004,,0.39966,0.045,60.9,53.9,0.044,0.0444,0.045,54.72,39.8
BTC-27SEP24-65000-P,8,929.3,,-43.24798,-55.59827,74.92584,0.00004,,-0.60034,0.125,15,51.81,0.1015,0.1045,0.106,55.5,31.5
BTC-27SEP24-66000-C,32.4,425.3,,20.06197,-54.34368,72.99966,0.00004,,0.36632,0.037,61.1,54.06,0.039,0.0394,0.04,54.9,28.8
BTC-27SEP24-66000-P,12.5,171.7,,-45.98698,-54.3439,72.99971,0.00004,,-0.63368,0.1362,11,51.66,0.1125,0.1157,0.1175,55.87,23.5
BTC-27SEP24-67000-C,23.1,434,,18.40031,-52.79067,70.64957,0.00003,,0.33477,0.0325,53.2,54.23,0.0345,0.0349,0.0355,55.1,30.1
BTC-27SEP24-67000-P,12.5,43.8,,-48.65023,-52.7903,70.65042,0.00003,,-0.66523,0.1368,8,51.91,0.1245,0.1276,0.13,56.69,24.4
BTC-27SEP24-68000-C,22.1,743.7,,16.81823,-50.9421,67.94117,0.00003,,0.30495,0.0315,58.8,54.44,0.0305,0.0309,0.0315,55.34,42.2
BTC-27SEP24-68000-P,-,34,,-51.23223,-50.9421,67.94117,0.00003,,-0.69505,0.133,6,52.65,0.1375,0.1399,0.142,56.72,22.5
BTC-27SEP24-69000-C,40.9,295.4,,15.32771,-48.89119,64.96236,0.00003,,0.27706,0.0255,57.3,54.72,0.027,0.0273,0.028,55.66,45.3
BTC-27SEP24-69000-P,-,4.7,,-53.7244,-48.89094,64.96326,0.00003,,-0.72294,0.1699,9,51.58,0.149,0.1526,0.155,57.28,23.5
BTC-27SEP24-70000-C,165.6,3297.7,,13.95964,-46.83798,61.85997,0.00003,,0.25167,0.024,55.3,55.13,0.024,0.0242,0.0245,55.62,9.7
BTC-27SEP24-70000-P,2.2,715.9,,-56.09325,-46.83779,61.86089,0.00003,,-0.74832,0.184,9,51.5,0.162,0.1658,0.168,57.5,23.5
BTC-27SEP24-72000-C,119.9,811.4,,11.46728,-42.18333,55.22579,0.00003,,0.2057,0.0185,37.7,55.44,0.0185,0.0188,0.0195,56.54,47.1
BTC-27SEP24-72000-P,-,1.1,,-60.58716,-42.18326,55.22675,0.00003,,-0.7943,0.369,23.6,50.56,0.1885,0.1931,0.1955,58.5,23.5
BTC-27SEP24-75000-C,177.4,3134.9,,8.48966,-35.40628,45.51248,0.00002,,0.15142,0.013,58.3,56.06,0.0125,0.0131,0.0135,57.41,10
BTC-27SEP24-75000-P,-,361.3,,-66.56712,-35.40636,45.51346,0.00002,,-0.84858,0.2255,23.5,49.95,0.2315,0.2363,0.239,60.47,23.5
BTC-27SEP24-80000-C,321.9,2947.9,,5.12545,-25.54108,31.71232,0.00001,,0.09082,0.0075,58.8,58.27,0.007,0.0073,0.008,60.18,63.3
BTC-27SEP24-80000-P,-,58.6,,-74.9352,-25.54133,31.71324,0.00001,,-0.90918,0.343,23.5,46.47,0.307,0.3121,0.316,65.85,24.4
BTC-27SEP24-85000-C,51.9,2882,,3.21994,-18.64629,22.15382,0.00001,,0.05687,0.0042,15,60.95,0.0042,0.0044,0.0046,62.05,16.8
BTC-27SEP24-85000-P,-,27.4,,-81.84313,-18.64629,22.15382,0.00001,,-0.94313,0.432,24.4,-,0.3855,0.3907,0.394,69.47,24.5
BTC-27SEP24-90000-C,3,5443.7,,2.09946,-13.79761,15.68978,0.00001,,0.03701,0.0027,15,63.46,0.0026,0.0028,0.003,65.03,17.8
BTC-27SEP24-90000-P,-,22.4,,-87.96891,-13.79794,15.69046,0.00001,,-0.96299,0.4745,23.5,-,0.465,0.4707,0.4745,75.9,23.6
BTC-27SEP24-95000-C,24.1,1599.8,,1.43698,-10.53052,11.45598,-,,0.02531,0.0019,15,66.07,0.0017,0.0019,0.0021,68.21,16.8
BTC-27SEP24-95000-P,-,1.3,,-93.63523,-10.53084,11.45655,-,,-0.97469,0.555,24.5,-,0.5465,0.5513,0.555,81.1,24.5
BTC-27SEP24-100000-C,0.1,2744.1,,1.03295,-8.32478,8.66755,-,,0.0182,0.0011,15,68.95,0.0012,0.0014,0.0016,71.74,19.8
BTC-27SEP24-100000-P,-,10.8,,-99.0431,-8.32484,8.66781,-,,-0.9818,0.6355,23.5,-,0.626,0.6323,0.6365,88.18,23.6
BTC-27SEP24-105000-C,-,693.5,,0.76554,-6.70548,6.70513,-,,0.01349,0.0012,16.6,70.91,0.0008,0.001,0.0013,75.44,16.1
BTC-27SEP24-105000-P,-,1.2,,-104.31431,-6.70576,6.70554,-,,-0.98651,0.7085,23.5,-,0.7065,0.7135,0.717,97.67,24.5
BTC-27SEP24-110000-C,-,1351.3,,0.56951,-5.36569,5.1869,-,,0.01004,0.0007,17,73.56,0.0006,0.0008,0.0009,77.16,1.2
BTC-27SEP24-110000-P,-,3.8,,-109.51415,-5.36594,5.18725,-,,-0.98996,0.728,24.4,-,0.788,0.7948,0.7985,103.95,24.5
BTC-27SEP24-115000-C,-,571.9,,0.45865,-4.62204,4.29575,-,,0.00809,0.0006,13,76.76,0.0005,0.0006,0.0008,80.95,5.3
BTC-27SEP24-115000-P,-,23.1,,-114.62883,-4.62228,4.29605,-,,-0.99191,0.5935,23.5,-,0.869,0.8762,0.881,106.66,23.6
BTC-27SEP24-120000-C,4.2,965.4,,0.37204,-3.98193,3.57526,-,,0.00657,0.0006,13.8,79.32,0.0004,0.0005,0.0006,82.83,1.5
BTC-27SEP24-120000-P,-,1.5,,-119.71925,-3.98215,3.57552,-,,-0.99343,0.8995,23.5,-,0.95,0.9577,0.9625,112.08,23.6
BTC-27SEP24-125000-C,-,360.7,,0.28777,-3.24658,2.84633,-,,0.00508,0.0004,15.7,81.1,0.0003,0.0004,0.0005,85.42,5.6
BTC-27SEP24-125000-P,-,1.1,,-124.80499,-3.24658,2.84633,-,,-0.99492,0.8635,23.5,-,1.031,1.0391,1.0435,115.36,24.5
BTC-27SEP24-130000-C,-,755.9,,0.23499,-2.78534,2.37687,-,,0.00415,0.0002,13,81.8,0.0002,0.0003,0.0005,89.44,10
BTC-27SEP24-130000-P,-,0.6,,-129.86392,-2.78552,2.37706,-,,-0.99585,0.8875,24.4,-,1.1125,1.1206,1.125,128.72,24.5
BTC-27SEP24-140000-C,-,1112.2,,0.14999,-1.93605,1.58743,-,,0.00265,0.0002,26.6,83.74,0.0001,0.0002,0.0004,94.8,10
BTC-27SEP24-140000-P,-,15.1,,-139.95654,-1.93619,1.58758,-,,-0.99735,1.3735,23.5,-,1.2745,1.2835,1.29,136.41,23.6
BTC-27SEP24-160000-C,-,982.2,,0.13514,-2.03135,1.45829,-,,0.00241,0.0002,26.5,95.63,0.0001,0.0002,0.0003,105,0.1
BTC-27SEP24-160000-P,-,1,,-159.98661,-2.0315,1.45843,-,,-0.99759,1.252,23.5,-,1.599,1.6097,1.617,155.98,23.6
BTC-27SEP24-180000-C,-,339.1,,0.07249,-1.21167,0.82745,-,,0.00129,0.0001,-,-,-,0.0001,0.0002,112.05,0.3
BTC-27SEP24-180000-P,-,1.1,,-180.06451,-1.21157,0.82736,-,,-0.99871,1.845,23.6,-,1.924,1.9358,1.9445,174.9,23.6
BTC-27SEP24-200000-C,-,379.1,,0.04627,-0.84491,0.54897,-,,0.00083,0.0001,-,-,-,0.0001,0.0002,121.54,0.5
BTC-27SEP24-200000-P,-,0.7,,-200.10593,-0.84499,0.54903,-,,-0.99917,2.4075,23.6,-,2.2485,2.262,2.272,191.95,23.6
BTC-27SEP24-240000-C,-,262.4,,0.02261,-0.47347,0.28399,-,,0.00041,0.0002,-,-,-,-,0.0004,145.99,16.1
BTC-27SEP24-240000-P,-,1,,-240.16003,-0.47353,0.28403,-,,-0.99959,2.7935,23.5,-,2.897,2.9143,2.927,221.81,23.6
